section,kategoriId,code,name,hex,rgb,sourceFile
İç Cephe,,Cİ-6375,4081 Kadife Bej,#c6aea3,"198, 174, 163",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6384,1670 Tatlı Şampanya,#e7d2c5,"231, 210, 197",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6393,4087 Mutlu Rüya,#dac5ba,"218, 197, 186",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6395,4089 Zarif Pudra,#bba097,"187, 160, 151",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6453,4116 Gizemli Viole,#b7a7a8,"183, 167, 168",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6454,4117 Elegan Viole,#978083,"151, 128, 131",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-6515,4487 Zarif Toprak,#92705b,"146, 112, 91",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7012,373 İstanbul Pembesi,#f1c1c5,"241, 193, 197",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7022,4197 Elegan Pembe,#f4dae3,"244, 218, 227",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7025,4200 Yediveren,#bf829b,"191, 130, 155",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7045,4210 İkinci Bahar,#dea3b7,"222, 163, 183",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7051,1600 Narin Pembe,#f1e1e9,"241, 225, 233",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7091,4230 Mutlu Pembe,#f4b5ad,"244, 181, 173",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7101,4235 Bahar Çiçeği,#f6c7c0,"246, 199, 192",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7105,4239 Karmen Kırmızısı,#b05757,"176, 87, 87",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7111,4240 Elegan Somon,#f0b899,"240, 184, 153",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7113,4242 Marsilya Kiremiti,#d88e73,"216, 142, 115",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7115,790 Osmanlı Kırmızısı,#914e4c,"145, 78, 76",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7121,Romantik Somon,#f5e0d0,"245, 224, 208",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7131,4248 Karizmatik Somon,#fcd3b4,"252, 211, 180",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7142,299 Koyu Şampanya,#fcdab6,"252, 218, 182",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7143,4254 Elegan Şampanya,#f6c594,"246, 197, 148",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7152,4257 Romantika,#edd7b7,"237, 215, 183",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7224,4292 Fener Işığı,#ffe387,"255, 227, 135",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7231,4294 Işık Sarısı,#f5e9cf,"245, 233, 207",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7232,4295 Harran,#f8e4b0,"248, 228, 176",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7235,4298 Mutlu Sarı,#eeca74,"238, 202, 116",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7243,4301 Elegan Sarı,#fbe499,"251, 228, 153",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,Cİ-7321,4339 Yeşil Rüya,#dfdbb4,"223, 219, 180",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
